"Reference","Value","Footprint","Datasheet","Qty","DNP","Exclude from BOM","Exclude from Board"
"C2,C3","10uF","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~","2","","",""
"D1,D2","LED","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","2","","",""
"J1","USB_C_Receptacle_PowerOnly_6P","Connector_USB:USB_C_Receptacle_GCT_USB4135-GF-A_6P_TopMnt_Horizontal","https://www.usb.org/sites/default/files/documents/usb_type-c.zip","1","","",""
"J2,J3","Conn_01x01","Connector_PinSocket_2.54mm:PinSocket_1x01_P2.54mm_Vertical","~","2","","",""
"R1,R2","5.1k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","2","","",""
"R3","2.2k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","1","","",""
"R4,R5","1k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","2","","",""
"R6","0.2","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","1","","",""
"R7","10k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","1","","",""
"SW1","SW_SPST","Button_Switch_THT:SW_Slide_SPDT_Straight_CK_OS102011MS2Q","~","1","","",""
"U1","TP4056X-435-ESOP8","Package_SO:SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.62x3.51mm_ThermalVias","https://www.lcsc.com/datasheet/lcsc_datasheet_2410121619_TOPPOWER-Nanjing-Extension-Microelectronics-TP4056-42-ESOP8_C16581.pdf","1","","",""
